# id	question	targets	expectedTerms	requiredMatches	expectedTitleTerms	expectedSectionTypes	forbiddenTerms	expectedDocumentTerms	expectedPageNumbers	expectedParentTerms	answerDirection	expectedResultMsgs
gen-official-89414	온라인 구독형 서비스 제공사업자를 위한 이용자보호 정책 안내서 문서에서 서비스 제공사업자 관련 본문 근거를 찾아줘	official_doc	서비스|제공사업자|이용자보호|온라인	2	온라인|구독형	-	-	온라인|구독형	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-89449	인구동향조사 보도자료 보도시점 2026. 5. 27.(수) 12:00 배포 2026. 5. 27.(수) 08:30 문서에서 보도시점 인구동향 관련 본문 근거를 찾아줘	official_doc	보도시점|인구동향|사회통계국|인구동향조사	2	인구동향조사|보도자료	-	-	인구동향조사|보도자료	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-89805	회복과 도약, 모두의 1년 국민주권정부 123대 국정과제 추진 실적 2026년 문서에서 혁신경제국정 AI 관련 본문 근거를 찾아줘	official_doc	혁신경제국정|AI|고속도로|세계|회복	2	회복|도약	-	-	회복|도약	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-90201	공익법인 연차보고서-2 문서에서 건전한 관계자 관련 본문 근거를 찾아줘	official_doc	건전한|관계자|나눔의|공익법인	2	공익법인|연차보고서	-	-	공익법인|연차보고서	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-90342	보도자료 보도시점 2026. 5. 20.(수) 12:00 배포 2026. 5. 20.(수) 08:30 2026년 1/4분기 문서에서 부문별 지역경제동향 관련 본문 근거를 찾아줘	official_doc	부문별|지역경제동향|수출입|요약|보도자료	2	보도자료|보도시점	-	-	보도자료|보도시점	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-90442	생성형 AI 서비스 이용자를 위한 개인정보 보호 가이드 문서에서 국외이전 가능성 관련 본문 근거를 찾아줘	official_doc	국외이전|가능성|글로벌|대화기록|생성형	2	생성형|AI	-	-	생성형|AI	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-89415	온라인 구독형 서비스 제공사업자를 위한 이용자보호 정책 안내서 문서에서 콘텐츠 유형별 관련 본문 근거를 찾아줘	official_doc	콘텐츠|유형별|서비스|배경|온라인	2	온라인|구독형	-	-	온라인|구독형	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-89451	인구동향조사 보도자료 보도시점 2026. 5. 27.(수) 12:00 배포 2026. 5. 27.(수) 08:30 문서에서 인구동태율 조출생률 관련 본문 근거를 찾아줘	official_doc	인구동태율|조출생률|조사망률|용어정의|인구동향조사	2	인구동향조사|보도자료	-	-	인구동향조사|보도자료	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-89807	회복과 도약, 모두의 1년 국민주권정부 123대 국정과제 추진 실적 2026년 문서에서 일어서 소상공인 관련 본문 근거를 찾아줘	official_doc	일어서|소상공인|골목상권|국민|회복	2	회복|도약	-	-	회복|도약	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-90205	공익법인 연차보고서-2 문서에서 도움정보 세제상 관련 본문 근거를 찾아줘	official_doc	도움정보|세제상|납세협력의무|추출|공익법인	2	공익법인|연차보고서	-	-	공익법인|연차보고서	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-90461	임금근로 일자리동향 행정통계 보도자료 보도시점 2026. 5. 19.(화) 12:00 배포 2026. 5. 19.(화) 8:30 문서에서 일자리 전년동기대비 관련 본문 근거를 찾아줘	official_doc	일자리|전년동기대비|산업별로|분기|임금근로	2	임금근로|일자리동향	-	-	임금근로|일자리동향	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-90525	2026 통일백서 문서에서 확성기 중지하 관련 본문 근거를 찾아줘	official_doc	확성기|중지하|긴장완화|전단|통일백서	2	통일백서	-	-	통일백서	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-90716	2025~2035 정성적 일자리 전망 문서에서 보건·의료직 한의사 관련 본문 근거를 찾아줘	official_doc	보건·의료직|한의사|수의사|전문의사|정성적	2	정성적|일자리	-	-	정성적|일자리	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-91515	월간 재정동향 2026년 5월 문서에서 발행처 세종특별자치시 관련 본문 근거를 찾아줘	official_doc	발행처|세종특별자치시|다솜2로|재정운용동향|월간	2	월간|재정동향	-	-	월간|재정동향	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-91607	발 간 등 록 번 호 11-1352000-100630-10 아동보호서비스 문서에서 업무매뉴얼 개정사항 관련 본문 근거를 찾아줘	official_doc	업무매뉴얼|개정사항|아동보호팀장|아동보호전담요원|아동보호서비스	2	아동보호서비스	-	-	아동보호서비스	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-92158	2025년 재외공관의 해외진출기업 지원 사례집(2026. 5) 문서에서 중소벤처기업지원협의체 알제리대사관 관련 본문 근거를 찾아줘	official_doc	중소벤처기업지원협의체|알제리대사관|발주처|알마티총영사관|재외공관	2	재외공관|해외진출기업	-	-	재외공관|해외진출기업	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-92469	발간등록번호: 11-1471000-100120-01 의약품 중 불순물 저감화 사례집 (NDMA 사례 중심으로)(2026. 6.) 문서에서 사례집 식품의약품안전처 관련 본문 근거를 찾아줘	official_doc	사례집|식품의약품안전처|공동연구|목적|발간등록번호	2	발간등록번호|의약품	-	-	발간등록번호|의약품	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-92537	참고 자료 여성·아동·장애인 대상 범죄 보완수사 우수사례집(2026. 4.) 문서에서 보완수사 우수사례집 관련 본문 근거를 찾아줘	official_doc	보완수사|우수사례집|극단적|여성·아동·장애인|참고	2	참고|자료	-	-	참고|자료	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-92579	KOREA AEROSPACE ADMINISTRATION AIRCRAFT COMPONENT ENVIRONMENTAL TESTING & EVALUATION(2026. 5) 문서에서 우주항공청 한창헌 관련 본문 근거를 찾아줘	official_doc	우주항공청|한창헌|부문장|주관부처|KOREA	2	KOREA|AEROSPACE	-	-	KOREA|AEROSPACE	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-92665	광업제조업동향조사, 서비스업동향조사, 건설경기동향조사, 기계수주동향조사, 경기종합지수, 설비투자지수, 전산업생산지수 보도자료 문서에서 건설경기동향조사 기계수주동향조사 관련 본문 근거를 찾아줘	official_doc	건설경기동향조사|기계수주동향조사|경기종합지수|광업제조업동향조사	2	광업제조업동향조사|서비스업동향조사	-	-	광업제조업동향조사|서비스업동향조사	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-107065	소비자물가조사 보도자료 보도시점 2026. 6. 2.(화) 08:00 배포 2026. 6. 2.(화) 07:30 문서에서 기준연도 가중치 관련 본문 근거를 찾아줘	official_doc	기준연도|가중치|년입니다|현재|소비자물가조사	2	소비자물가조사|보도자료	-	-	소비자물가조사|보도자료	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-107090	온라인쇼핑동향 보도자료 보도시점 2026. 6. 1.(월) 12:00 배포 2026. 6. 1.(월) 08:30 문서에서 PC기반 인터넷쇼핑 관련 본문 근거를 찾아줘	official_doc	PC기반|인터넷쇼핑|모바일기반|온라인쇼핑|온라인쇼핑동향	2	온라인쇼핑동향|보도자료	-	-	온라인쇼핑동향|보도자료	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-107173	발간등록번호 11-1833118-100025-01 세계유산 창덕궁과 종묘에 사용된 석재의 과학정보 문서에서 간직한 대표적인 관련 본문 근거를 찾아줘	official_doc	간직한|대표적인|문화유산|조선시대|발간등록번호	2	발간등록번호|세계유산	-	-	발간등록번호|세계유산	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-158120	화장품안전성평가자료작성가이드라인 문서에서 화장품법 개정법률 관련 본문 근거를 찾아줘	official_doc	화장품법|개정법률|화장품|안내서|화장품안전성평가자료작성가이드라인	2	화장품안전성평가자료작성가이드라인	-	-	화장품안전성평가자료작성가이드라인	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-158148	2025 중대재해 사이렌 문서에서 novembre Toba 관련 본문 근거를 찾아줘	official_doc	novembre|Toba|Tipu|Data|중대재해	2	중대재해|사이렌	-	-	중대재해|사이렌	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-160668	공공재정 회복(Restoring Public Finances)보고서-2 문서에서 Public finances 관련 본문 근거를 찾아줘	official_doc	Public|finances|OECD|Preface|공공재정	2	공공재정|회복	-	-	공공재정|회복	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-89552	www.kopico.go.kr발 간 등 록 번 호 11-1790365-100041-10 2025 문서에서 개인정보 분쟁조정 관련 본문 근거를 찾아줘	official_doc	개인정보|분쟁조정|사례집|제1장|kopico	2	kopico|kr발	-	-	kopico|kr발	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-89434	온라인 구독형 서비스 제공사업자를 위한 이용자보호 정책 안내서 문서에서 제공사업자 이용자보호 관련 본문 근거를 찾아줘	official_doc	제공사업자|이용자보호|안내서|구독|온라인	2	온라인|구독형	-	-	온라인|구독형	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-89452	인구동향조사 보도자료 보도시점 2026. 5. 27.(수) 12:00 배포 2026. 5. 27.(수) 08:30 문서에서 자연증 통계표 관련 본문 근거를 찾아줘	official_doc	자연증|통계표|인구동향|인구동향조사	2	인구동향조사|보도자료	-	-	인구동향조사|보도자료	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-89810	회복과 도약, 모두의 1년 국민주권정부 123대 국정과제 추진 실적 2026년 문서에서 모두의 대전환 관련 본문 근거를 찾아줘	official_doc	모두의|대전환|국민주권정부|서문|회복	2	회복|도약	-	-	회복|도약	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-90220	공익법인 연차보고서-2 문서에서 National Service 관련 본문 근거를 찾아줘	official_doc	National|Service|결산서류|Chapter|공익법인	2	공익법인|연차보고서	-	-	공익법인|연차보고서	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-90344	보도자료 보도시점 2026. 5. 20.(수) 12:00 배포 2026. 5. 20.(수) 08:30 2026년 1/4분기 문서에서 지역경제 관련 본문 근거를 찾아줘	official_doc	지역경제|전국|보도자료	2	보도자료|보도시점	-	-	보도자료|보도시점	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-90462	임금근로 일자리동향 행정통계 보도자료 보도시점 2026. 5. 19.(화) 12:00 배포 2026. 5. 19.(화) 8:30 문서에서 보건·사회복지 숙박·음식 관련 본문 근거를 찾아줘	official_doc	보건·사회복지|숙박·음식|전문·과학·기술|산업대분류별로|임금근로	2	임금근로|일자리동향	-	-	임금근로|일자리동향	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-90526	2026 통일백서 문서에서 흔들림 나아가야 관련 본문 근거를 찾아줘	official_doc	흔들림|나아가야|입니다|한반|통일백서	2	통일백서	-	-	통일백서	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
gen-official-90720	2025~2035 정성적 일자리 전망 문서에서 기술발전 인구구조 관련 본문 근거를 찾아줘	official_doc	기술발전|인구구조|글로벌화|발간|정성적	2	정성적|일자리	-	-	정성적|일자리	-	-	자동 생성 coverage 평가: 질문에 포함된 본문 핵심어와 문서 제목이 함께 맞는 근거를 사용해야 한다	-
