# id	question	targets	expectedTerms	requiredMatches	expectedTitleTerms	expectedSectionTypes	forbiddenTerms	expectedDocumentTerms	expectedPageNumbers	expectedParentTerms	answerDirection
project-review-target	과업심의 대상은?	official_doc|internal_doc	적용 대상 사업|대상사업|국가기관 등이 발주하는 모든 SW사업|소프트웨어사업	2	과업심의	target_scope	간소화|위원회 회의|위원의 제척	공공소프트웨어사업 과업심의	5	적용 대상 사업	대상 사업과 제외 대상을 먼저 답한다
project-review-simple-software	단순 소프트웨어 구매면 과업심의 안해도 돼?	official_doc|internal_doc	국가기관 등이 발주하는 모든 SW사업|소프트웨어사업|비대상|단순 H/W	2	과업심의	target_scope	간소화 심의|위원회 회의	공공소프트웨어사업 과업심의	5	적용 대상 사업	단순 구매 자체가 아니라 SW사업 여부와 예외 대상을 구분해 답한다
project-review-hardware-exclusion	공공소프트웨어사업에서 단순 하드웨어 구매는 소프트웨어사업에 포함되나요?	official_doc|internal_doc	단순 H/W|소프트웨어사업으로 볼 수 없는|비대상	1	과업심의	target_scope	위원회 회의	공공소프트웨어사업 과업심의	5	적용 대상 사업	단순 H/W 도입 설치는 비대상임을 먼저 답한다
project-review-sns-operation	SNS운영 사업도 과업심의 받아야해?	official_doc|internal_doc|admrul|law	국가기관 등이 발주하는 모든 SW사업|국가기관등의 장이 발주하는 소프트웨어사업|소프트웨어사업|대상사업	2	과업심의|공공SW사업	target_scope	위원회 회의|위원의 제척|SNS 소통민원창구	공공소프트웨어사업 과업심의|공공SW사업 법제도 관리감독	5	대상 사업	SNS라는 단어가 있는 문서를 찾지 말고 SW사업 대상 여부 기준으로 답한다
project-review-pre-consultation-relation	과업심의 한 사업은 사전협의도 꼭 해야돼?	official_doc|internal_doc|admrul|law	과업심의|사전협의|대상사업|정보화사업	2	과업심의|사전협의	target_scope	작성 예시	과업심의|사전협의		대상사업	과업심의와 사전협의는 별도 제도임을 구분해 답한다
pre-consultation-target	기타공공기관 사전협의 대상 알려줘	official_doc|internal_doc|admrul|law	사전협의의 대상사업|대상기관|추진하는 모든 정보화사업	2	사전협의	target_scope	제안서 평가 방법	사전협의		사전협의 대상	대상기관과 대상사업을 먼저 답한다
pre-consultation-when	정보화사업 사전협의는 언제 해야해?	official_doc|internal_doc|admrul|law	사전협의|예산|사업계획|검토	2	사전협의	procedure	제안서 평가 방법	사전협의		시기|절차	언제 제출 또는 협의해야 하는지 절차 중심으로 답한다
pre-consultation-exception	정보화사업 사전협의 제외 대상은?	official_doc|internal_doc|admrul|law	사전협의|제외|제외대상|대상사업	2	사전협의	exception	제안서 작성 예시	사전협의		제외 대상	제외 대상과 확인 필요 조건을 구분해 답한다
security-review-target	보안성검토 대상 시스템은?	official_doc|internal_doc|admrul|law	보안성검토대상|정보시스템구축|민감정보|주요정보통신기반시설	2	보안성 검토	target_scope	발주정보등록|권한등록	보안성 검토		대상	검토 대상 정보시스템 범위를 먼저 답한다
security-review-exception	보안성검토 생략 가능한 경우는?	official_doc|internal_doc|admrul|law	보안성검토|생략|제외|검토대상	2	보안성 검토	exception	발주정보등록	보안성 검토		생략|제외	생략 가능 조건과 확인 필요 사항을 답한다
security-review-procedure	보안성검토 절차는 어떻게 돼?	official_doc|internal_doc|admrul|law	보안성검토|절차|검토|통보	2	보안성 검토	procedure	권한등록	보안성 검토		절차	검토 요청부터 결과 통보까지 절차 순서로 답한다
it-compliance-penalty	정보화시스템 법제도 준수안하면 어떤 불이익?	official_doc|internal_doc|admrul|law	법제도 준수|미준수|불이익|제재|조치|보완|입찰 참가자격 제한|보안 위약금	2	정보화|보안성 검토	penalty	Qdrant|OpenAI|개인 의견	정보화사업|보안성 검토			법제도 미준수 시 확인 가능한 불이익·조치만 답한다
egov-preliminary-review-target	지능정보사회 실행계획의 예비검토는 어떤 사업을 대상으로 하는거야?	admrul|official_doc|internal_doc|law	예비검토|정보화사업|성과관리 대상사업|중앙행정기관	2	전자정부 성과관리|예비검토	target_scope	과업심의|보안성검토|공공데이터	전자정부 성과관리|성과관리 지침		예비검토	예비검토 대상 기관과 사업 범위를 구분해 답한다
rfp-required-items	공공기관 제안요청서 작성할때 필수요소가 있나?	official_doc|internal_doc|admrul|law	제안요청서에는|과업내용|요구사항|계약조건|평가요소	2	제안요청서	requirement	제안서 평가 방법	제안요청서		필수|요구사항	제안요청서에 반드시 명시할 항목을 답한다
rfp-tech-score-table	제안요청서에 기술평가 항목 및 배점표는 필수로 적어야해?	official_doc|internal_doc|admrul|law	제안요청서|평가요소|평가방법|배점	2	제안요청서	requirement	제안서 작성 따라하기	제안요청서		평가요소|배점	기술평가 항목과 배점표 기재 필요성을 답한다
