id	requiredPropositionGroups	requiredConditionGroups	forbiddenAnswerExpressions
project-review-target	과업심의 대상 사업|과업심의 대상	국가기관 등이 발주하는 소프트웨어사업|국가기관 등의 소프트웨어사업	과업심의 불필요|소프트웨어사업은 모두 심의 제외
project-review-simple-software	단순 소프트웨어 구매도 과업심의 대상|소프트웨어 구매도 심의 대상일 수 있다	소프트웨어사업에 해당|단순 하드웨어 구매가 아님	단순 구매라서 심의 불필요
project-review-hardware-exclusion	소프트웨어사업으로 볼 수 없는|비대상	-	하드웨어만 구매해도 심의한다
project-review-sns-operation	SNS 운영도 과업심의 대상|SNS 운영 사업도 대상사업	소프트웨어사업에 해당|소프트웨어 운영 사업인 경우	SNS 운영은 무조건 비대상
project-review-pre-consultation-relation	과업심의와 사전협의는 별도 제도|서로 다른 제도	각 제도의 대상사업 여부|과업심의 대상과 사전협의 대상을 각각 확인	과업심의했으면 사전협의 불필요|과업심의로 사전협의 자동 완료
pre-consultation-target	기타공공기관도 사전협의 대상기관|공공기관도 사전협의 대상	추진하는 정보화사업|대상 정보화사업인 경우	기타공공기관은 항상 제외
pre-consultation-when	사업계획 검토 단계에 사전협의|사업 추진 전에 사전협의	예산 편성 전|사업계획 확정 전	사업 완료 후 협의|계약 후에만 협의
pre-consultation-exception	기관별 사업금액 기준 미만인 사업은 제외|기관별 기준금액 미만 사업은 사전협의 제외	신규 사업은 금액 기준 미만이어도 사전협의 대상|신규로 추진하는 사업은 대상에 포함	제외사업 없음
security-review-target	보안성검토 대상 시스템|보안성검토대상	정보시스템 구축|민감정보 처리|주요정보통신기반시설	정보시스템은 모두 검토 불필요
security-review-exception	참여 인력이 시스템에 접근하지 않으면 보안성검토 대상에서 제외|시스템에 접근하지 않는 DB 구축·콘텐츠 제작 용역은 검토 제외	참여 인력이 시스템에 접근하면 보안성검토 대상|시스템 접근이 있으면 검토 대상	아무 조건 없이 검토 면제
security-review-procedure	보안성검토 요청;검토 수행;결과 통보	-	요청 없이 자체 승인|검토 결과를 요청기관에 알리지 않음
it-compliance-penalty	미준수 시 보완 조치|미준수 시 개선 요구	근거에 명시된 불이익과 제재에 한정|해당 법제도별 제재 확인	미준수하면 무조건 형사처벌|아무 조치도 없음
egov-preliminary-review-target	중앙행정기관의 정보화사업이 예비검토 대상|예비검토 대상 사업	성과관리 대상사업|실행계획의 정보화사업	모든 민간사업도 예비검토 대상
rfp-required-items	과업내용과 요구사항을 명시|과업내용 및 요구사항;계약조건과 평가요소를 명시|계약조건 및 평가요소	-	제안요청서 필수항목 없음
rfp-tech-score-table	기술평가 항목과 배점을 기재|평가요소와 배점표를 명시	제안요청서의 평가방법|기술평가를 실시하는 경우	배점표는 항상 생략 가능
public-data-db-standard	표준용어를 적용|표준용어 관리;표준도메인을 적용|표준도메인 관리	공공데이터베이스 표준화 대상	기관별 임의 용어만 사용
procurement-catalog-contract	디지털카탈로그 구매와 수의계약은 같은 개념이 아님|구매경로와 계약방법은 구분	적용 가능한 계약방법을 별도 확인|계약 요건 확인	구매 담당자가 계약방식을 임의 결정
commercial-sw-direct-purchase	상용소프트웨어 직접구매 대상|상용SW 직접구매 대상	직접구매 기준 충족|예외 사유가 없는 경우	상용SW는 모두 일괄구매만 가능
performance-measure-when	평가기간은 2025년 12월 17일부터 2026년 10월 31일까지|2025. 12. 17 ~ 2026. 10. 31	평가기간 동안 요청 수와 완료 수를 합산|평가기간 중 요청 건수와 완료 건수를 집계	아무 때나 성과측정
irm-faithfulness	정보자원을 기한 내 등록|등록요청에 맞춰 정보자원 등록	등록 요청을 받은 경우|정해진 등록 기한	등록하지 않아도 충실성 충족
whistleblower-protection-scope	불이익조치에 대한 보호조치|공익신고자 보호조치;비밀보장과 신변보호|비밀보장 및 신변보호	공익신고자 또는 보호 대상자	신고자 신원 공개 허용|보호조치 없음
traffic-crosswalk-stop	횡단보도 앞 일시정지|우회전 시 일시정지	보행자가 있거나 통행하려는 경우|보행자 보호가 필요한 경우	보행자 앞에서도 그대로 통과
video-cctv-guide	공공기관 CCTV 설치 운영 기준 안내|고정형 영상정보처리기기 설치 운영 가이드	공공기관의 설치와 운영|개인영상정보 처리	민간 촬영장비에만 적용
personal-info-purpose	개인정보 처리 목적을 정보주체에게 고지|처리 목적을 알려야 한다	개인정보를 수집하거나 처리할 때	내부 문서만 작성하면 충분
official-doc-title	공공소프트웨어사업 과업심의 가이드|과업심의 가이드 문서	-	개인정보 처리 안내서|보안성검토 가이드
noise-unification-white-paper-header	공무원과 직원이 통일교육 대상|공공부문 종사자가 교육 대상;매년 1회 통일교육|연 1회 교육	대상 기관의 공무원과 직원	일반 국민만 교육 대상|교육 의무 없음
privacy-integrated-guide-purpose	개인정보 처리 준수사항을 현장에서 이해하기 쉽게 안내|현장 적용을 돕기 위해 발간	개인정보 처리 업무 수행 시	법률 개정만을 위한 안내서
privacy-consent-notice-items	수집 이용 목적을 고지|수집·이용 목적 고지;수집 항목을 고지|수집하는 개인정보 항목 고지;보유기간과 동의 거부권을 고지|보유 및 이용기간과 거부권 고지	개인정보 수집 이용 동의를 받을 때	백지 동의서도 유효|구두 동의만 받으면 충분
public-data-custom-support	기업 수요와 활용역량을 분석|수요 및 역량 분석;필요한 공공데이터를 제공|맞춤형 공공데이터 제공;데이터 검색과 추천 지원|검색·추천 지원	공공데이터 활용기업을 지원하는 경우	공공데이터 제공 없이 교육만 지원
public-data-preprocessing	오류 원인을 분석|데이터 오류 원인 분석;전처리 대상을 선정|대상 선정;전처리 방법을 결정|방법 결정 및 삭제	공공데이터 전처리 코칭 절차	원인 분석 없이 일괄 삭제
mois-autonomy-preconsultation-target	법령 제개정 권한이 있는 중앙행정기관이 대상|중앙행정기관이 대상기관	지방자치 관련 법령을 제정하거나 개정하는 경우	모든 지방공기업만 대상
mois-autonomy-preconsultation-procedure	사전협의 요청서를 작성 제출|요청서 제출;지방자치 관련성을 검토|지방자치 관련성 검토;협의 결과서를 통보|결과서 통보	-	요청서 없이 구두로 종결
mcst-tourism-dure-support	최대 5년간 지원|지원기간 최대 5년;역량 강화 교육과 맞춤형 상담 지원|교육 및 상담 지원;최대 1억 1천만 원 지원|1억 1천만 원 한도	관광두레 주민사업체로 선정된 경우	지원기간 제한 없음|현금만 지원
pipc-cctv-public-place-exception	공개된 장소 설치는 원칙적으로 금지|원칙적 설치 금지	법령에서 구체적으로 허용한 경우|법정 예외 사유에 해당	관리자 판단만으로 자유롭게 설치
pipc-cctv-retention-period	무조건 30일이 아니다|반드시 30일은 아니다|일률적 30일 기준이 아니다	설치 목적에 필요한 기간|목적별 보관기간 산정	영상 종류별 차이를 무시한 획일 기준
pipc-pseudonym-additional-info	추가정보를 분리보관|추가정보 별도 보관;필요가 없어지면 추가정보 파기|추가정보 파기	가명정보를 처리하는 경우	같은 접근권한으로 결합 보관
public-data-portal-standard-scope	공공기관의 공공데이터베이스가 표준화 대상|공공데이터베이스 표준화 대상	공공기관이 구축 운영하는 데이터베이스	민간의 모든 데이터베이스까지 의무 적용
mcst-tourism-dure-period	최대 5년간 지원|지원기간은 최대 5년	관광두레 주민사업체|맞춤형 상담 등 지원	지원기간 제한 없음
